span	freq	ascii_variant	contexts
Could	4	Could	senadi Kosala said to the Blessed One, "Could it be that something was said by the Bl | y: 'This is a person of no integrity.' "Could a person of no integrity know of a pers | y: 'This is a person of no integrity.' "Could a person of integrity know of a person
Creations	4	Creations	the devas Wielding Power over the Creations of Others, it is possible that one — wi | among the devas Wielding Power over the Creations of Others. | the gods that Wield Power over others' Creations).
Dhamma Rama	4	Dhamma Rama	So the Dhamma Rama declared he entered & dwelled in, havin | urself through direct knowledge, is the Dhamma Rama declared he entered & dwelled in, havin | So the Dhamma Rama declared he entered & dwelled in, havin
Dhamma.' So	4	Dhamma.' So	rtainly he dwells knowing & seeing this Dhamma.' So I went to him and said, 'To what extent | tainly he dwelled knowing & seeing this Dhamma.' So I went to Uddaka and said, 'To what ext | rtainly he dwells knowing & seeing this Dhamma.' So I went to him and said, 'To what extent
Discernment	4	Discernment	hus it is said to be 'consciousness.'" "Discernment & consciousness, friend: Are these qual | elineate the difference between them?" "Discernment & consciousness are conjoined, friend, | elineate the difference between them." "Discernment & consciousness, friend: What is the di
Eye	4	Eye	He is the Eye, he is Knowledge, he is Dhamma, he is B | He is the Eye, he is Knowledge, he is Dhamma, he is B | He is the Eye, he is Knowledge, he is Dhamma, he is B
Friend Kalama	4	Friend Kalama	a Kalama and, on arrival, said to him: 'Friend Kalama, I want to practice in this doctrine & | I went to him and said, 'Friend Kalama, is this the extent to which you have e | a Kalama and, on arrival, said to him: 'Friend Kalama, I want to practice in this doctrine &
Friend Niganthas	4	Friend Niganthas	uffering & stress will be exhausted." "'Friend Niganthas, it's as if a man were shot with an arr | his was said, I said to the Niganthas, 'Friend Niganthas, there are five things that can turn ou | "So I asked them further, 'Friend Niganthas, what do you think: When there is fierc
Friend Uddaka	4	Friend Uddaka	amaputta and, on arrival, said to him: 'Friend Uddaka, I want to practice in this doctrine & | I went to Uddaka and said, 'Friend Uddaka, is this the extent to which Rama enter | amaputta and, on arrival, said to him: 'Friend Uddaka, I want to practice in this doctrine &
Fully	4	Fully	full release, there is the knowledge, 'Fully released.' He discerns that 'Birth is e | full release, there is the knowledge, 'Fully released.' He discerns that 'Birth is e | full release, there is the knowledge, 'Fully released.' He discerns that 'Birth is d
Gabled Hall	4	Gabled Hall	ssed One was staying in Vesali , at the Gabled Hall in the Great Forest. | round to exercise his legs, went to the Gabled Hall in the Great Forest. | ed One was staying near Vesālī , at the Gabled Hall in the Great Forest.
Ganaka-Moggallana	4	Ganaka-Moggallana	Then the brahman Ganaka-Moggallana approached the Lord; having approached | sitting down at a respectful distance, Ganaka-Moggallana the brahman spoke thus to the Lord: "Ju | ." When this had been said, the brahman Ganaka-Moggallana spoke thus to the Lord: "Now, on being
Go	4	Go	great king, then that's the way it is.' Go away, Mallika! | sed One addressed a certain monk thus: "Go, O monk, and tell the monk Arittha, for | Nandaka dismissed them, saying, "Go, sisters.
Him	4	Him	irth, aging, & death are not abandoned: Him I call deluded. | re birth, aging, & death are abandoned: Him I call undeluded. | s ardently By day, by night, untiringly Him the Tranquil Sage has called The Ideal
Hindrances	4	Hindrances	Abandoning the Hindrances "Endowed with this noble aggregate of v | y the temporary abandonment of the five Hindrances, which indicates a high degree of conce | Abandoning the Hindrances "Endowed with this noble aggregate of v
Homage	4	Homage	f his heart, and exclaimed three times: Homage to the Blessed One, worthy & rightly se | xclaimed this exclamation three times: "Homage to the Blessed One, worthy & rightly se | "Homage to the Blessed One, worthy & rightly se
In-	4	In-	Mindfulness of In-&-Out Breathing "Now how is mindfulness | "In-&-out breaths are bodily; these are thin | What are mental fabrications?" "In-&-out breaths are bodily fabrications.
Indra	4	Indra	"And when the devas, together with Indra , the Brahmas , & Pajapati , search for | s freed, O monks, neither the gods with Indra, nor the gods with Brahma, nor the gods | ion, the intention is this: "I say that Indra and other gods cannot trace a taint-fre
Insisting	4	Insisting	s otherwise, their knowledge is wrong.' Insisting through obstinacy & grasping right ther | s otherwise, their knowledge is wrong.' Insisting through obstinacy & grasping right ther | s otherwise, their knowledge is wrong.' Insisting through obstinacy & grasping right ther
Janussonin	4	Janussonin	Now at that time, Janussonin the brahman was driving out of Savatthi | practiced rightly.' When this was said, Janussonin the brahman got down from his totally w | I will speak." "As you say, sir," Janussonin the brahman responded.
Kala-khemaka	4	Kala-khemaka	alms round, he went to the dwelling of Kala-khemaka the Sakyan for the day's abiding. | any resting places had been prepared in Kala-khemaka the Sakyan's dwelling. | ere are many resting places prepared in Kala-khemaka the Sakyan's dwelling.
Kosala	4	Kosala	he two sages Jali [6] and Atthaka, then Kosala, the enlightened one, then Subahu, Upan | King Pasenadi of Kosala, for instance. | warrior king — such as King Pasenadi of Kosala or King Ajātasattu Vedehiputta of Magad
Licchavin	4	Licchavin	e sake of this world.'" Sunakkhatta the Licchavin heard that "A large number of monks, it | of this world."'" Then Sunakkhatta the Licchavin went to the Blessed One and, on arrival | k." "As you say, lord," Sunakkhatta the Licchavin responded to the Blessed One.
Look	4	Look	pala stood up and recited these verses: Look at the image beautified, a heap of fest | [7] Look at the form beautified with earrings & | Ānanda, "Look, Ānanda, at how this worthless Udāyin i
Members	4	Members	(Members of) all four castes — if they take life | (Members of) all four castes — if they refrain f | (Members of) all four castes are capable of deve
Nibbaana	4	Nibbaana	of craving, for dispassion, cessation, Nibbaana. | of craving, for dispassion, cessation, Nibbaana. | forward to the unconditioned element ( Nibbaana ) in the thought: "Non-origination is s
Nibbāna	4	Nibbana	of defilements and speedy attainment of Nibbāna. | of defilements and speedy attainment of Nibbāna. | Vision: i.e., perception of Nibbāna by means of Sotāpatti magga.
Noble One	4	Noble One	the pillar, has unbolted (his mind); a Noble One who has taken down the flag, put down t | "And how is the monk a Noble One who has taken down the flag, put down t | Thus is the monk a Noble One who has taken down the flag, put down t
Passion	4	Passion	"Passion, friend, is a making of limits. | "Passion is a something. | "Passion is a making of themes.
Patimokkha	4	Patimokkha	wells restrained in accordance with the Patimokkha, consummate in his behavior & sphere of | ees, worthy & rightly self-awakened — a Patimokkha that has been codified. | the one to whom it falls [to recite the Patimokkha].
Perception	4	Perception	els': Thus it is said to be 'feeling.'" Perception "'Perception, perception': Thus is it s | is said to be 'feeling.'" Perception "'Perception, perception': Thus is it said. | cluse Gotama speaks of the Cessation of Perception and Feeling and describes it as pleasur
Prince Abhaya	4	Prince Abhaya	o mighty, so powerful — were refuted by Prince Abhaya!'" "But how, venerable sir, will I refu | esponding, "As you say, venerable sir," Prince Abhaya got up from his seat, bowed down to Nig | and had removed his hand from his bowl, Prince Abhaya took a lower seat and sat to one side.
Radiant	4	Radiant	the Radiant devas... | The commentary notes that the term "Radiant devas" is actually a class name encompa | ...of the Radiant gods...
Refulgent Glory	4	Refulgent Glory	the case of the Subhakinha, the gods of Refulgent Glory. | ...of the gods of Refulgent Glory... | ing Radiance, the wanderers the gods of Refulgent Glory, and the Ajivakas the non-percipient st
Satipaṭṭhānas	4	Satipatthanas	oint in ¶27 is the practice of the four Satipaṭṭhānas. | place without the practice of the four Satipaṭṭhānas. | When a yogī practices the Satipaṭṭhānas, he will achieve, first of all, mental
Sister	4	Sister	Ratthapala said to her, "Sister, if that is to be thrown away, pour it | that woman and on arrival say to her, 'Sister, since I was born I do not recall inten | that woman and on arrival say to her, 'Sister, since I was born in the noble birth, I
Sky-fruit	4	Sky-fruit	the Sky-fruit devas, it is possible that one — with t | y, after death — would appear among the Sky-fruit devas. | rable empathetic joy; rebirth among the Sky-fruit devas can follow on the attainment of t
Sorrow	4	Sorrow	contemplative, Gotama, has said this: 'Sorrow, lamentation, pain, distress, & despair | orthy, & rightly self-awakened — said, 'Sorrow, lamentation, pain, distress, & despair | orthy, & rightly self-awakened — said, 'Sorrow, lamentation, pain, distress, & despair
Sub.Comy	4	Sub.Comy	method, all defilements are included." Sub.Comy. | na ariya-maggena), " which according to Sub.Comy. | come strong and have not been removed." Sub.Comy.: "By ultimate elimination (samuccheda-v
That Blessed One	4	That Blessed One	never infer of me according to Dhamma: 'That Blessed One is accomplished, fully enlightened, per | never infer of me according to Dhamma: 'That Blessed One enjoys the various kinds of supernormal | never infer of me according to Dhamma: 'That Blessed One encompasses with his own mind the minds
The Middle Length Sayings	4	The Middle Length Sayings	ourses of the Buddha but are present in The Middle Length Sayings. | ston: Wisdom Publications, 1995) and in The Middle Length Sayings (3 vols.; I.B. | missing from the editions on which both The Middle Length Sayings and The Middle Length Discourses of the
Then Ratthapala	4	Then Ratthapala	the household life into homelessness." Then Ratthapala, rising from his seat, bowing down to t | the household life into homelessness?" Then Ratthapala, not getting his parents' permission to | ne forth, you must visit your parents." Then Ratthapala got up and, on regaining strength, went
Tusita	4	Tusita	ama devas..." "...the Yama devas or the Tusita devas?" "...the Tusita devas..." "...th | ama devas or the Tusita devas?" "...the Tusita devas..." "...the Tusita devas or the N | evas?" "...the Tusita devas..." "...the Tusita devas or the Nimmanarati devas?" "...th
Udayi	4	Udayi	: "How many kinds of feelings, reverend Udayi, were taught by the Blessed One?" " Thr | "Not three kinds of feelings, reverend Udayi, were taught by the Blessed One. | etool's way of presentation, with which Udayi disagreed, was correct.
Unbinding.'	4	Unbinding.'	eption nor non-perception, is intent on Unbinding.' "Now, there's the possible case where a | , promotes vexation, & does not lead to Unbinding.' "As I noticed that it leads to my own a | , promotes vexation, & does not lead to Unbinding.' "As I noticed that it leads to my own a
